2020-04-08 13:46:05,043 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Demo:Demoartifact:0.0.1-SNAPSHOT @ D:\GitDemo\Demoartifact\pom.xml.
2020-04-08 13:46:07,914 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Demoartifact/src/main/java
2020-04-08 13:46:07,914 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Demo:Demoartifact:0.0.1-SNAPSHOT @ D:\GitDemo\Demoartifact\pom.xml.
2020-04-08 13:46:07,914 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Demoartifact/src/main/resources
2020-04-08 13:46:07,914 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Demoartifact/src/test/java
2020-04-08 13:46:07,914 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Demoartifact/src/test/resources
2020-04-08 13:46:13,752 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Demo:Demoartifact:0.0.1-SNAPSHOT @ D:\GitDemo\Demoartifact\pom.xml.
2020-04-08 13:46:14,189 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-08 13:46:14,205 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-04-08 13:46:14,205 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-08 13:46:14,220 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
